"GEO_ID","NAME","B27010_001E","B27010_001M","B27010_002E","B27010_002M","B27010_003E","B27010_003M","B27010_004E","B27010_004M","B27010_005E","B27010_005M","B27010_006E","B27010_006M","B27010_007E","B27010_007M","B27010_008E","B27010_008M","B27010_009E","B27010_009M","B27010_010E","B27010_010M","B27010_011E","B27010_011M","B27010_012E","B27010_012M","B27010_013E","B27010_013M","B27010_014E","B27010_014M","B27010_015E","B27010_015M","B27010_016E","B27010_016M","B27010_017E","B27010_017M","B27010_018E","B27010_018M","B27010_019E","B27010_019M","B27010_020E","B27010_020M","B27010_021E","B27010_021M","B27010_022E","B27010_022M","B27010_023E","B27010_023M","B27010_024E","B27010_024M","B27010_025E","B27010_025M","B27010_026E","B27010_026M","B27010_027E","B27010_027M","B27010_028E","B27010_028M","B27010_029E","B27010_029M","B27010_030E","B27010_030M","B27010_031E","B27010_031M","B27010_032E","B27010_032M","B27010_033E","B27010_033M","B27010_034E","B27010_034M","B27010_035E","B27010_035M","B27010_036E","B27010_036M","B27010_037E","B27010_037M","B27010_038E","B27010_038M","B27010_039E","B27010_039M","B27010_040E","B27010_040M","B27010_041E","B27010_041M","B27010_042E","B27010_042M","B27010_043E","B27010_043M","B27010_044E","B27010_044M","B27010_045E","B27010_045M","B27010_046E","B27010_046M","B27010_047E","B27010_047M","B27010_048E","B27010_048M","B27010_049E","B27010_049M","B27010_050E","B27010_050M","B27010_051E","B27010_051M","B27010_052E","B27010_052M","B27010_053E","B27010_053M","B27010_054E","B27010_054M","B27010_055E","B27010_055M","B27010_056E","B27010_056M","B27010_057E","B27010_057M","B27010_058E","B27010_058M","B27010_059E","B27010_059M","B27010_060E","B27010_060M","B27010_061E","B27010_061M","B27010_062E","B27010_062M","B27010_063E","B27010_063M","B27010_064E","B27010_064M","B27010_065E","B27010_065M","B27010_066E","B27010_066M"
"1400000US12001001400","Census Tract 14, Alachua County, Florida","3149","294","803","162","685","148","129","84","48","67","0","13","471","167","37","56","0","13","103","106","40","59","0","13","0","13","29","43","0","13","34","41","15","17","786","172","537","130","289","126","88","59","0","13","137","76","19","25","4","8","87","67","22","33","0","13","0","13","0","13","0","13","65","60","162","99","1159","150","768","102","481","114","113","60","17","25","145","71","0","13","12","19","151","60","36","32","0","13","8","13","34","29","10","14","18","25","45","31","240","111","401","63","138","54","0","13","0","13","122","51","16","24","0","13","261","65","0","13","48","22","22","19","23","25","0","13","22","23","146","55","2","5"
"1400000US12001001702","Census Tract 17.02, Alachua County, Florida","5581","570","1229","247","1168","235","639","171","106","115","0","19","398","292","25","42","0","19","0","19","0","19","0","19","0","19","0","19","0","19","0","19","61","110","1230","389","1094","393","697","269","325","175","0","19","49","56","23","37","0","19","23","37","0","19","0","19","0","19","23","37","0","19","0","19","113","93","1881","272","1516","267","1356","244","79","55","0","19","69","68","12","20","0","19","134","54","9","16","21","24","0","19","6","15","18","30","0","19","80","52","231","175","1241","215","230","100","11","17","0","19","219","100","0","19","0","19","1011","235","0","19","299","131","340","161","66","69","0","19","23","30","283","106","0","19"
"1400000US12001002205","Census Tract 22.05, Alachua County, Florida","11242","1399","2776","866","2607","863","1916","642","600","344","0","21","17","27","74","121","0","21","82","122","0","21","0","21","0","21","82","122","0","21","0","21","87","89","1901","596","1748","585","1306","544","388","228","0","21","25","37","29","47","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","153","138","4724","566","4252","552","3159","534","913","241","148","219","1","4","31","51","0","21","292","165","51","55","0","21","56","94","0","21","39","50","0","21","146","99","180","116","1841","226","432","201","55","51","26","43","351","198","0","21","0","21","1340","258","0","21","380","150","316","151","46","63","0","21","47","64","551","205","69","96"
"1400000US12001001803","Census Tract 18.03, Alachua County, Florida","5426","589","869","286","801","264","366","175","88","81","0","19","300","208","47","79","0","19","68","71","0","19","0","19","0","19","37","63","0","19","31","35","0","19","1290","350","1148","331","889","293","215","130","0","19","44","50","0","19","0","19","54","65","12","22","0","19","42","62","0","19","0","19","0","19","88","91","2032","304","1731","239","1378","227","219","104","15","23","97","99","22","37","0","19","97","72","28","44","15","25","0","19","0","19","0","19","0","19","54","48","204","129","1235","353","483","266","18","33","0","19","465","257","0","19","0","19","752","195","0","19","172","82","241","108","61","51","0","19","72","92","206","99","0","19"
"1400000US12001002210","Census Tract 22.10, Alachua County, Florida","4561","517","1175","280","1052","267","729","211","32","32","11","17","265","216","15","22","0","13","74","51","0","13","0","13","0","13","12","19","0","13","62","48","49","51","785","222","681","201","635","201","0","13","0","13","29","42","11","15","6","11","9","15","0","13","0","13","0","13","0","13","0","13","9","15","95","82","1986","296","1797","296","1549","277","61","46","13","20","116","92","50","40","8","12","124","69","6","10","0","13","0","13","23","24","0","13","0","13","95","66","65","60","615","126","189","83","31","48","0","13","158","70","0","13","0","13","415","121","0","13","99","75","108","65","14","17","0","13","25","40","169","80","11","18"
"1400000US12001002201","Census Tract 22.01, Alachua County, Florida","5390","560","1638","397","1356","240","837","234","144","91","0","19","375","180","0","19","0","19","209","305","0","19","0","19","0","19","14","22","0","19","195","302","73","57","783","198","495","140","365","141","84","53","0","19","9","14","11","16","26","36","44","32","16","24","0","19","0","19","0","19","0","19","28","25","244","135","2162","213","1701","210","1245","198","288","97","68","49","85","59","0","19","15","17","227","83","0","19","26","30","0","19","50","41","4","7","0","19","147","72","234","147","807","135","265","104","20","23","0","19","245","104","0","19","0","19","542","128","0","19","143","59","163","97","29","29","0","19","26","23","181","78","0","19"
"1400000US12001002209","Census Tract 22.09, Alachua County, Florida","8705","640","2207","297","2050","284","1369","264","287","152","0","19","394","209","0","19","0","19","62","62","22","36","0","19","0","19","0","19","0","19","40","51","95","100","1683","380","1356","315","946","243","268","138","7","12","83","80","26","39","26","43","14","14","5","9","0","19","0","19","0","19","0","19","9","15","313","161","3283","423","2756","443","2151","388","409","143","91","132","66","68","17","22","22","26","189","92","14","21","0","19","0","19","12","19","6","10","22","26","135","86","338","173","1532","284","388","186","38","39","17","27","333","181","0","19","0","19","1133","267","0","19","425","205","209","120","196","129","0","19","135","121","168","82","11","18"
"1400000US12001000400","Census Tract 4, Alachua County, Florida","6655","787","2153","585","1724","639","556","391","70","101","0","19","1098","536","0","19","0","19","369","405","265","376","0","19","0","19","0","19","0","19","104","136","60","72","1624","468","1164","535","379","197","351","331","0","19","328","200","0","19","106","155","204","212","0","19","0","19","0","19","0","19","0","19","204","212","256","133","2269","293","1743","326","1159","258","362","231","23","31","126","92","0","19","73","106","287","178","140","146","0","19","19","22","40","55","0","19","0","19","88","78","239","147","609","183","187","98","36","42","0","19","151","90","0","19","0","19","396","155","0","19","56","45","43","45","179","104","0","19","26","30","92","53","26","42"
"1400000US12001000700","Census Tract 7, Alachua County, Florida","6395","873","1345","481","1294","480","482","306","17","27","0","19","795","456","0","19","0","19","36","42","0","19","0","19","36","42","0","19","0","19","0","19","15","25","1237","362","881","348","404","296","18","29","0","19","459","195","0","19","0","19","36","56","0","19","0","19","0","19","0","19","0","19","36","56","320","299","2704","405","1793","422","1089","304","150","97","0","19","481","250","29","46","44","53","376","195","32","41","34","33","0","19","149","137","0","19","25","27","136","117","535","232","1109","233","220","124","60","91","0","19","160","88","0","19","0","19","889","211","0","19","138","78","188","146","281","150","0","19","58","71","224","127","0","19"
"1400000US12001001000","Census Tract 10, Alachua County, Florida","5596","842","597","248","540","215","306","151","228","185","0","19","0","19","6","11","0","19","10","16","10","16","0","19","0","19","0","19","0","19","0","19","47","81","3334","742","2977","678","1963","615","800","317","0","19","155","192","59","66","0","19","220","143","175","126","0","19","0","19","45","70","0","19","0","19","137","107","996","255","839","193","598","149","163","101","0","19","62","87","16","28","0","19","72","87","0","19","17","28","0","19","55","83","0","19","0","19","0","19","85","87","669","112","247","131","55","51","46","72","146","98","0","19","0","19","422","123","0","19","117","89","157","95","0","19","0","19","0","19","148","106","0","19"
"1400000US12001001701","Census Tract 17.01, Alachua County, Florida","5495","737","1113","429","776","320","251","171","83","86","0","19","405","328","37","64","0","19","180","178","86","98","0","19","0","19","0","19","0","19","94","139","157","169","1367","435","1088","355","664","262","369","194","0","19","55","70","0","19","0","19","28","34","0","19","0","19","0","19","0","19","0","19","28","34","251","265","1608","233","1331","229","1039","163","140","103","0","19","117","104","17","30","18","28","129","79","0","19","0","19","29","45","14","25","0","19","0","19","86","55","148","87","1407","200","318","146","0","19","0","19","318","146","0","19","0","19","1050","168","0","19","270","104","295","112","47","58","0","19","47","46","391","160","39","76"
"1400000US12001000600","Census Tract 6, Alachua County, Florida","5185","585","1815","326","1538","264","482","218","67","76","36","49","953","251","0","19","0","19","110","137","0","19","0","19","62","87","0","19","0","19","48","57","167","110","1286","300","882","242","552","250","87","59","10","17","233","146","0","19","0","19","45","51","0","19","0","19","36","48","0","19","0","19","9","15","359","146","1605","247","1112","188","649","192","178","101","87","71","175","87","0","19","23","27","230","119","37","52","0","19","0","19","85","72","0","19","17","23","91","79","263","110","479","129","162","84","0","19","15","22","147","85","0","19","0","19","317","104","0","19","84","51","71","45","95","83","0","19","0","19","67","40","0","19"
"1400000US12001000901","Census Tract 9.01, Alachua County, Florida","4855","625","1842","345","1805","348","1067","272","546","150","2","4","160","67","30","29","0","13","9","19","9","19","0","13","0","13","0","13","0","13","0","13","28","31","2869","466","2768","444","1784","333","907","206","0","13","28","25","49","36","0","13","55","38","55","38","0","13","0","13","0","13","0","13","0","13","46","43","144","46","114","46","34","19","64","33","5","7","11","13","0","13","0","13","13","12","10","10","0","13","0","13","0","13","0","13","3","4","0","13","17","9","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13"
